"run_ID"	"omni_ns_linT"	"omni_ns_linF"	"omni_is_linT"	"omni_is_linF"	"omni_ls_linT"	"omni_ls_linF"	"link_ns_linT"	"link_ns_linF"	"link_is_linT"	"link_is_linF"	"link_ls_linT"	"link_ls_linF"	"form_ns_linT"	"form_ns_linF"	"form_is_linT"	"form_is_linF"	"form_ls_linT"	"form_ls_linF"
403	13.015	411.792	11.77	612.502	9.76300000000001	546.341	7.421	603.145	7.487	533.998	5.515	473.705	7.39700000000001	510.326	7.404	534.675	5.375	457.562
445	12.995	522.02	11.537	547.93	9.87800000000001	418.823	7.403	446.949	7.389	556.52	5.469	374.932000000001	7.293	438.008	7.351	523.227	5.381	199.226000000001
402	13.141	425.788	11.297	609.312	9.439	561.86	6.668	679.529	6.668	533.322	4.885	430.357	6.508	558.530000000001	6.64200000000001	513.754	4.867	304.85
447	12.114	473.89	10.678	601.94	9.107	456.411	6.78100000000001	473.425	6.826	599.802	5.22000000000001	323.418	6.788	502.618	6.76100000000001	580.237	5.18000000000001	227.641
502	13.14	400.822	11.36	397.1	9.473	166.656	6.95200000000001	376.085	7.034	348.586	5.09	137.853	6.941	358.162	7.084	378.998	5.17	169.269
498	11.877	435.635	10.354	434.063	8.506	166.595	6.365	410.685	6.438	411.639	4.633	143.598	6.461	427.164	6.44900000000001	428.914	4.608	148.124
241	12.283	627.899	10.403	633.373	8.608	932.880999999999	6.202	958.399	6.289	972.111999999999	4.557	531.323	6.334	1706.921	6.288	860.360000000001	4.539	553.190000000001
501	13.049	424.367	11.299	420.058	9.47499999999999	165.582	6.86499999999999	410.996	6.951	402.932	5.063	146.689	6.86300000000001	399.213	6.994	436.994	5.133	176.879
428	12.06	445.027	10.551	472.52	8.847	489.254	6.95999999999999	482.775	7.044	608.891000000001	5.093	220.414	6.983	494.886	6.758	536.991999999999	4.91300000000001	336.747
462	13.193	533.466	11.288	519.13	9.503	275.769	6.968	475.503	6.945	478.053	5.17	236.208	7.10899999999999	474.363	7.176	455.087	5.092	203.233
